@tmount @Delta @AmericanAir @SouthwestAir @united @JetBlue @BWI_Airport @JFKairport @LGAairport Commute. Those like… https://t.co/7oIkLeXq3F,0.0,neutral
@JetBlue I really need a representative to call me! I’m so fed up with this company! Everyone I call the automotive… https://t.co/44AbpvcRmL,0.2,positive
@zaberto @Delta @AmericanAir @SouthwestAir @united @JetBlue @BWI_Airport @JFKairport @LGAairport I feel like we at… https://t.co/pEOSIHYziW,0.0,neutral
"RT @SecretFlying: 🔥 Non-stop from #Philadelphia to San Juan, Puerto Rico for only $101 roundtrip with @JetBlue #Travel (Oct-Nov dates)  htt…",0.0,neutral
RT @Tyove23: This is the 2nd time in the last 3 months flying with you all that something has gone terrible only for your employees to be r…,-0.25,negative
RT @Tyove23: Thanks @JetBlue for literally sending me to the back of the plane for some bs reasoning. I’ve never in my life heard of someon…,0.1,positive
"@ghostfaceheal3r @JetBlue @HamHock42 Think we got enough cum guys on twitter, no?",0.0,neutral
This is the 2nd time in the last 3 months flying with you all that something has gone terrible only for your employ… https://t.co/NFgRuLvhHR,-0.25,negative
Thanks @JetBlue for literally sending me to the back of the plane for some bs reasoning. I’ve never in my life hear… https://t.co/1sY7CTUV2C,0.1,positive
@JetBlue used to be they stood out vs other airlines now they r just like the others.  Changed flts without decent… https://t.co/B10gsswylA,0.02083333333333333,positive
RT @bostonmarathon: The legendary #BostonMarathon course starts in Hopkinton and ends on Boylston Street in Boston. Check out the #BostonMa…,1.0,positive
@ABC7BriannaR @JetBlue @AmericanAir I feel your frustration!,0.0,neutral
"Thanks, @JetBlue  for providing service to Martha's Vineyard this summer and running new routes such as Newark and… https://t.co/JjKZYlnTXH",0.11212121212121212,positive
@ABC7BriannaR @JetBlue @AmericanAir Never have had an issue flying JetBlue. I used them a lot for business travel w… https://t.co/Izlqq8uY45,0.0,neutral
Never flying @JetBlue again. Had to pay $65 for a carry on…since when are passengers not allowed 1 carry-on and 1 personal item?!😒😡,0.0,neutral
It’s awesome that @jetblue gives you free wifi. Next they need to figure out how to make it work. I’d rather pay an… https://t.co/1c1vZaGi0o,0.4666666666666666,positive
@JetBlue can you help me with something for my retired librarian mom? Please DM me. Thanks!,0.2,positive
"@JetBlue For days now your website only allows booking Blue Basic fares, nothing higher.  What gives?  I'm so frust… https://t.co/mUP2Yy2Q0H",0.0625,positive
@JetBlue cancelled my flight and will use another airline. I will never get these two hours back,0.0,neutral
"Time to start calling @jetblue, “JetDelay” or “DelayBlue”…#delayedagain #jetbluedelays",0.0,neutral
@JetBlue I’m flying JetBlue from Cancun to LAX next Tuesday and need to understand the Covid 19 testing requirement… https://t.co/ypRGE9RfEM,0.0,neutral
@Benoit_Ballss @HamHock42 @JetBlue Okay now this is weird,0.0,neutral
@JetBlue customer service has gone way down hill. Waited an hour and told to use website which didn’t work. Waiting over an hour now.,-0.15555555555555559,negative
@JetBlue Hope it’s not a 36 hour trip that should have been 5 hours. https://t.co/o5QzCeJjwU,0.0,neutral
@JetBlue So @JetBlue you are comfortable giving me a $200 credit for a 36 hour travel day that should have been 5 h… https://t.co/ceitBOiebX,0.4,positive
I want to be the person who names the planes that is my new dream job pls @JetBlue https://t.co/Om14s1MIqS,0.13636363636363635,positive
Need help with JetBlue vacations @jetblue,0.0,neutral
RT @PhilipStewartNY: A preview of @JetBlue’s space in our next new destination — @VisitSanAntonio! Service from @JFKairport and @BostonLoga…,0.06818181818181818,positive
A preview of @JetBlue’s space in our next new destination — @VisitSanAntonio! Service from @JFKairport and… https://t.co/ZCR6nOjyrT,0.06818181818181818,positive
No carry on allowed from MIA to Newark @JetBlue https://t.co/ZEKr8uFAIw,0.0,neutral
RT @MRintouch: How about this for a bait and switch—book flights on @JetBlue and turns out they’re really on #AmericanAirlines so I can nei…,0.2,positive
@POTUS52 @Delta @AmericanAir @JetBlue Don’t think anyone would ever use the word frugal to describe me 😂. Just swit… https://t.co/FFOUnpusRa,0.0,neutral
@LAMetroBlueLine @JetBlue @AmericanAir Those and American are usually all I’ll fly too!,0.18333333333333335,positive
@JetBlue only been 90 minutes without a real update on maintenance issue. Update app but don’t communicate to peopl… https://t.co/VsDyk1Qvc2,0.1,positive
@WAForeskins @JetBlue @HamHock42 Does this make you cum head guy?,0.0,neutral
@JetBlue can I cancel a bag I purchased at the ticket counter ?,0.0,neutral
@HamHock42 @WAForeskins @JetBlue At least they weren’t socks.,-0.3,negative
@ABC7BriannaR @JetBlue @AmericanAir We only fly Delta or Southwest.,0.4,positive
@HamHock42 @WAForeskins @JetBlue (afraid to say anything),-0.6,negative
@WAForeskins @JetBlue Your nephew sends you a cum hat from his batting cages snd you post it on main SMH,0.16666666666666666,positive
@JetBlue Never again will I book a JetBlue flight that also involves another carrier!!  I need to cancel a flight a… https://t.co/ryGi0TMogl,0.0,neutral
RT @WAForeskins: Even though I couldn’t make it to Boston due to cancelled flights coughcough @jetblue coughcough it was nice of @HamHock42…,0.2375,positive
Me after flying Mint w/ @JetBlue and not thinkin bout Delta 💅🏿 https://t.co/O1tEfcpVRJ,0.0,neutral
How about this for a bait and switch—book flights on @JetBlue and turns out they’re really on #AmericanAirlines so… https://t.co/0TPBhHHQuX,0.2,positive
Even though I couldn’t make it to Boston due to cancelled flights coughcough @jetblue coughcough it was nice of… https://t.co/JcegJJhtji,0.2375,positive
The Airline Industry and Data - @JetBlue Soars in the @SnowflakeDB #DataCloud https://t.co/3do2815BgB… https://t.co/KanaJKxnya,0.0,neutral
@JetBlue Confirmation code does not work for either so it’s not going to work when I get to the airport either,0.0,neutral
I’ve been on hold with @JetBlue and @Expedia for 5 H O U R S!!! Because they don’t want to refund a flight they del… https://t.co/iUByWi91X4,0.0,neutral
RT @ABC7BriannaR: Can’t remember the last time I flew @JetBlue .. nothing but problems today though- on hold for 1 hr 30 mins so far & they…,0.05,positive
@JetBlue OMG! Sitting in your terminal at #jfk WHY is the bad 80’s club music exhausting us? Weary travelers hate this.,-0.6333333333333333,negative
@BWI_Airport @Delta @AmericanAir @SouthwestAir @united @JetBlue @JFKairport @LGAairport This is excellent news. Thank you!,1.0,positive
RT @BWI_Airport: @zaberto @Delta @AmericanAir @SouthwestAir @united @JetBlue @JFKairport @LGAairport Hi Chris! Southwest resumes BWI-LGA 2x…,0.0,neutral
@JetBlue has the worst customer service in the airline industry. In a sector that runs off of quick logistic decisi… https://t.co/X04uGxvVz0,-0.33333333333333337,negative
"@ABC7BriannaR @JetBlue @AmericanAir Low cost carriers, meaning they cut cost elsewhere. Good luck though 🤞",0.35,positive
"@POTUS52 @Delta @AmericanAir @JetBlue Also worth noting is return is bad for all options, so paid a little more tha… https://t.co/j8e6btf0Lu",-0.021874999999999978,negative
"@POTUS52 @Delta @AmericanAir @JetBlue I hear you. I love Delta, and they are good to me, but when running P&L and w… https://t.co/9o3rplyqZW",0.6,positive
@jsswope @JetBlue @AmericanAir @SpiritAirlines Definitely never. again.,0.0,neutral
@ABC7BriannaR @JetBlue @AmericanAir Never JetBlue or Spirit! :) @SpiritAirlines,0.0,neutral
"RT @captainstardust: Well, I've flown @JetBlue once, and I guess that's all I ever will. Shame, I liked the chips.  I also like my #Prius,…",0.6,positive
@WICK1974 @JetBlue @AmericanAir Lesson learned!,0.0,neutral
"@ABC7BriannaR @JetBlue @AmericanAir Always Delta, Always.....Good Luck ✈️",0.7,positive
@ABC7BriannaR @JetBlue @AmericanAir Crazy,-0.6,negative
Can’t remember the last time I flew @JetBlue .. nothing but problems today though- on hold for 1 hr 30 mins so far… https://t.co/2UP3BDGVwW,0.05,positive
Hey @JetBlue are you going to be adding additional flights to Tampa and/or Sarasota for the next couple of days for the Sox games,0.0,neutral
