"@Delta I bought a flight from you that is operated by @WestJet and they say that there is no ticket with my name, d… https://t.co/24spE5KUf2",0.0,neutral
@saab007 @Delta I’d like to buy a vowel.,0.0,neutral
"@Delta please help me understand this, I booked a ticket with changes allowed, now I'm trying to change the flight… https://t.co/VmuNsILxTX",0.0,neutral
@tmount @Delta @AmericanAir @SouthwestAir @united @JetBlue @BWI_Airport @JFKairport @LGAairport Commute. Those like… https://t.co/7oIkLeXq3F,0.0,neutral
"@Delta on board a flight to Italy.  Love Delta however, the flight crew has been rather rude…extra training would be great!",0.25,positive
@Delta Self Tag Bag Drop for Sky Priority members = Horrible Lazy Customer Service!!! https://t.co/N9jSN11i7s,-0.625,negative
"@karmakkaze What a horrible experience for a teenager, I commend you for you level of non-forgiveness. That’s rare… https://t.co/lsosvi9s6I",-0.35,negative
@APforJustice @Delta They’re waiting for someone to blame it on so they don’t take any flak from the Trumpublican running Georgia,0.0,neutral
@zaberto @Delta @AmericanAir @SouthwestAir @united @JetBlue @BWI_Airport @JFKairport @LGAairport I feel like we at… https://t.co/pEOSIHYziW,0.0,neutral
RT @TristanSnell: Now @Delta is the only major US airline without a vaccine mandate for its employees. RT to pledge you’ll fly elsewhere un…,0.28750000000000003,positive
@Delta @DeltaNewsHub @Delta it hurts you’ve responded to everyone but me 😢,0.0,neutral
Way to go @Delta 😡 https://t.co/wk7k1AOy04,0.0,neutral
@SecretFlying @Delta Shit,-0.2,negative
@Blue_Texas2022 I haven’t flown @Delta since my honeymoon in 1979. After a fire on board and a multitude of problem… https://t.co/QaYdse6BsZ,0.0,neutral
"RT @SecretFlying: #NewYork to Montego Bay, Jamaica for only $270 roundtrip with @Delta #Travel (Jan-Feb dates)  https://t.co/pP44Ik0r3y htt…",0.0,neutral
"@dollymad1812 @Delta Flying soon. Checked fairs of 3 airlines. Delta was not included. Unsubscribed to Delta’s promotional emails, too.",0.0,neutral
"@hsrad @n3rd1ty @Delta DM me your Skymiles account #, SSN and DOB. I'll see what I can do.",0.0,neutral
"#NewYork to Montego Bay, Jamaica for only $270 roundtrip with @Delta #Travel (Jan-Feb dates)… https://t.co/s3z0CnqCoI",0.0,neutral
"Want 90,000 Bonus @Delta Miles and 10,000 Medallion® Qualification Miles (MQMs)? You can get it after spending $3,0… https://t.co/XBK4Kmrp3t",0.0,neutral
"@bicoastalnomad @AmericanAir [Ahem]... Why do you think I fly @Delta? The wifi is reliable and getting faster, the… https://t.co/AqeWzCLyHb",0.8,positive
"@TristanSnell @Delta If Delta doesn't support the Delta variant, who will?! https://t.co/soDo6xb8ld",0.0,neutral
@Delta I sent them a letter yesterday but have not heard anything back. Thank you.,0.0,neutral
One major airline holds out against COVID vaccine mandate -  ⁦@Delta⁩ makes me not want to fly them again as long a… https://t.co/PKqTzf3kT5,0.2708333333333333,positive
@n3rd1ty @Delta Really @Delta ? How about his SSN? Mother maiden name? His first pet? Maybe send him a USB disk and… https://t.co/6OzcOvoOcb,0.225,positive
@Delta just booked my moms ticket to Chicago! I sincerely hope no issues & if we have to request another refund due… https://t.co/UNu2hIPHmU,0.1875,positive
@APforJustice @Delta My body my choice … remember?,0.0,neutral
Wtf @Delta. I’ve had a delta Amex for years and fly with you guys almost exclusively. I can’t believe you’re gonna… https://t.co/8xirE3ccmh,0.15000000000000002,positive
Hoping to take a trip next month. I won’t be flying @Delta https://t.co/XR7eJuC4J9,0.0,neutral
@jessicaalba @Delta @baby2baby Lonely too?,-0.09999999999999998,negative
@Delta You’ll be bringing me to my hometown for the first time since the 2019,0.25,positive
Just informed that our flight will not have WiFi!🤬 (Looking at you @Delta)  Will try to answer additional questions… https://t.co/5vrxcdBNdq,0.0,neutral
@Delta  I am not happy that my brand new bag has a big hole in it after flying from Athens to Chattanooga on Monday… https://t.co/LjFpdgftxU,-0.08787878787878789,negative
@TMobileHelp @Delta ehhh not really possible to receive this message @ 40k feet 🙃 https://t.co/HKy9Hgh5HE,0.0,neutral
@Delta I love your airlines just heard you won’t require your employees to be vaccinated I am shocked.,-0.09999999999999998,negative
@Blue_Texas2022 @KathyBrownKathy I’m going to boycott @Delta Airlines.   #GetVaccinated,0.0,neutral
@rudysarzo @Delta have a nice trip rudy travel safe,0.55,positive
"@Delta Traveling pretty steady over the last 2 months, back to normalcy! Delta clubs not so much, executive member… https://t.co/k2SRMHGrZ1",0.12333333333333334,positive
@briiianbear @FrankLuntz @Delta For what? Asking their employees to take personal responsibility for their decisions?,0.0,neutral
@HDLutz @MayorWinnecke @Delta You’re welcome.  Contact us anytime directly lfella@flyevv.com.  Always happy to assist. ~ Leslie,0.5666666666666668,positive
@FlyEVV @MayorWinnecke @Delta That’s good news. Thank you for your response.,0.7,positive
"@HDLutz @MayorWinnecke Hi, Cameron, The flight has only been paused for the next ~2 months - it returns on Dec. 18!… https://t.co/QO08s2lySu",0.0,neutral
Thx @Delta. We ran & we made it. Appreciate Pilot saying flight 380 awaits connecting passengers. WHY did SLC>SUN d… https://t.co/fCFVMpGQeL,0.0,neutral
@Delta IS PLAYING AUGUST IN  THE PLANE! HOLDING MYSELF NOT TO START SINGING,0.0,neutral
"I lost my Switch on a flight from Europe to NYC 8/28... I knew chances of getting it back were minimal, but today I… https://t.co/CWTa4HforW",-0.05,negative
@JonOfTheNorth @LBIAirport @swissportNews @KLM_UK @KLM @Delta Hi Jon. My sister is married to US citizen and she is… https://t.co/SdMM4M1rlw,0.25,positive
Yo @Delta be racis n shiet. Why my last name gotta be invalid? https://t.co/zF9iR5RJGO,0.0,neutral
"I am not upset about this.  It’s .@delta’s way to say, you get vaccinated or pay $200 extra every two weeks.  That… https://t.co/GWNNCKwEB5",0.0,neutral
@Delta not happy-response from chat may be correct but info is confusing. I’m rsv card holder and my upcoming trip… https://t.co/00ud8hmo5V,-0.35,negative
@Delta @DeltaNewsHub #msp is going to look pretty empty. #suncountry https://t.co/wY8DXBgn6V,0.075,positive
@Delta Can’t wait. https://t.co/VawzBfoNvi,0.0,neutral
